,Difference (Post - Pre),Date,Session,Combined
0,17.887806179717032,0307,Replicate,All Dates
1,17.323586476931073,0307,Replicate,All Dates
2,0.06507305937806054,0307,Replicate,All Dates
3,5.8328756672611854,0307,Replicate,All Dates
4,3.630874591404493,0627,a.5KHz Control Section,All Dates
5,1.1676901133197823,0627,a.5KHz Control Section,All Dates
6,0.6775891523736686,0627,a.5KHz Control Section,All Dates
7,2.8704596116553116,0627,a.5KHz Control Section,All Dates
8,11.860074462047763,0627,a.5KHz Control Section,All Dates
9,18.10916499743686,0627,a.5KHz Control Section,All Dates
10,3.2571425547150588,0627,b. Duty Cycle Control Section,All Dates
11,6.709143040421639,0627,b. Duty Cycle Control Section,All Dates
12,4.5758255569814335,0627,b. Duty Cycle Control Section,All Dates
13,5.774203651124194,0627,b. Duty Cycle Control Section,All Dates
14,1.4637077169897648,0627,b. Duty Cycle Control Section,All Dates
15,13.060225954716115,0627,b. Duty Cycle Control Section,All Dates
16,9.421140056987404,0627,c. Long FUS Section,All Dates
17,17.269722712865356,0729,a. MAX Section,All Dates
18,29.85545321787253,0729,a. MAX Section,All Dates
19,20.422250857301712,0729,a. MAX Section,All Dates
20,-2.2843710885658592,0729,a. MAX Section,All Dates
21,6.577452536859997,0729,a. MAX Section,All Dates
22,25.29039817845052,0729,a. MAX Section,All Dates
23,1.8283098778778575,0729,b. Replicate Section,All Dates
24,2.6183250105605427,0729,b. Replicate Section,All Dates
25,43.99269298601396,0729,b. Replicate Section,All Dates
26,-5.663203292062099,0729,b. Replicate Section,All Dates
27,8.819890524016442,0729,b. Replicate Section,All Dates
28,9.133624180758009,0729,b. Replicate Section,All Dates
29,22.478039851887928,0729,c. Long FUS Section,All Dates
